,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
20,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0
21,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0
22,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,64.0
23,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0
24,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,72.0
25,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,9.5
26,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,40.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1642497270.5299196,1642497270.5299456,1642497270.5299687,1642497270.5299916,1642497270.530014,1642497270.5300367,1642497270.530059,1642497270.5300815,1642497270.530104,1642497270.5301263,1642497270.5301552,1642497270.5301776,1642497270.5301995,1642497270.5302217,1642497270.5302465,1642497270.5302691,1642497270.5302913,1642497270.5303128,1642497270.530335,1642497270.530357,1642497270.5303788,1642497270.5304005,1642497270.5304224,1642497270.5304444,1642497270.5304663,1642497270.5304885,1642497270.5305102,1642497270.530532,1642497270.530554,1642497270.5305758,1642497270.5305977,1642497270.530622,1642497270.530644,1642497270.5306659,1642497270.5306888,1642497270.5307107,1642497270.5307324,1642497270.530754,1642497270.530776,1642497270.5307975,1642497270.5308197,1642497270.530844,1642497270.530866,1642497270.530888,1642497270.5309124,1642497270.530934,1642497270.530956,1642497270.5309775,1642497270.5309997,1642497270.531021,1642497270.5310433,1642497270.5310647,1642497270.5310867,1642497270.5311084,1642497270.5311303,1642497270.5311542,1642497270.531176,1642497270.5311975,1642497270.5312195,1642497270.5312412
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
