,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
10,-83238.25397947479,-83236.644653874,-83246.97115981235,-83244.06543303316,-83274.1061775811,-83249.2957412357,-83262.86325012008,-83262.41621523097,-83242.56786615466,-83261.58920068612,-83247.46289819037,-83249.899238336,-83249.27338949125,-83242.47845917684,-83269.34525601212,-83249.63101740254,-83249.09457553561,-83250.3462732251,-83259.66695066297,-83260.82924137465,-83264.07024432067,-83263.48909896483,-83263.51145070928,-83251.73208138134,-83273.9497153699,-83275.71550318188,-83273.21210780289,-83277.19071831593,-83266.26071527728,-83287.22665157636,-83281.12462534006,-83289.7076952109,-83295.02741039127,-83270.90987812399,-83302.51524478379,-83273.48032873635,-83270.26167753479,-83270.44049149043
11,-96957.44180171989,-96977.84894440758,-96954.91605459644,-96971.59045596009,-96975.94904612888,-96964.12497331202,-97002.1452906305,-96978.02775836323,-96987.39313929,-96989.15892710196,-96958.20176103136,-96987.9966363903,-96958.55938894265,-96974.31736878364,-96980.6429124645,-96976.15021182898,-96984.93444739991,-96962.42624073342,-96989.71772071335,-96985.0909096111,-96983.57099098814,-97003.86637495356,-96968.50591522527,-96977.84894440758,-96978.3406827856,-96966.22603729082,-96996.95968591687,-96971.16577281544,-96986.1861450894,-96983.68274971042,-96972.77509841623,-97004.98396217632,-96966.71777566883,-96989.78477594671,-96997.51847952825,-96961.12983955501,-96988.01898813475,-96951.56329292814
12,-91203.36517135683,-91232.24362519308,-91193.5751072854,-91231.30485192596,-91229.04732573597,-91205.64504929127,-91252.2931399695,-91209.08721793738,-91222.78883728849,-91222.72178205512,-91199.52067131051,-91234.90348278327,-91205.53329056899,-91242.25720670905,-91240.51377064154,-91218.6314128198,-91244.04534626548,-91193.75392124105,-91241.31843344193,-91220.59836633186,-91219.59253783138,-91244.55943638795,-91198.55954629893,-91232.17656995972,-91222.56531984394,-91210.16010167124,-91256.20469524917,-91206.65087779175,-91229.22613969161,-91226.25335767906,-91225.24752917857,-91267.82760236593,-91204.77333125751,-91236.57986361741,-91245.1852852327,-91206.13678766928,-91239.39618341878,-91201.64408703377
13,-99862.76624950962,-99894.90805803634,-99849.57872028097,-99885.16269745382,-99876.66903456081,-99865.64962454434,-99914.21996524572,-99872.1763339253,-99887.46492713272,-99875.66320606032,-99859.97228145269,-99904.2287354742,-99858.98880469667,-99898.14906098237,-99893.45519464674,-99870.3211391355,-99905.05575001905,-99855.83720872847,-99894.68454059178,-99883.3298544085,-99883.59807534196,-99918.77972111461,-99867.08013618948,-99899.08783424948,-99887.80020329956,-99872.53396183658,-99912.90121232286,-99863.39209835436,-99899.1772412273,-99894.17045046932,-99878.41247062832,-99918.64561064787,-99869.94115947976,-99902.23943021768,-99905.23456397469,-99867.75068852314,-99900.20542147224,-99838.5593102645
14,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
15,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
16,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447,-187500.02235174447
17,0.035500000000000004,0.035500000000000004,0.035500000000000004,0.035500000000000004,0.035500000000000004,0.035750000000000004,0.035750000000000004,0.035750000000000004,0.035750000000000004,0.035750000000000004,0.034875,0.034875,0.034875,0.034875,0.034875,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.036000000000000004,0.038,0.038,0.038,0.038,0.038,0.046,0.046,0.046,0.046,0.046,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058
18,0.9835,0.9835,0.9835,0.9835,0.9835,0.98775,0.98775,0.98775,0.98775,0.98775,0.990875,0.990875,0.990875,0.990875,0.990875,0.992,0.992,0.992,0.992,0.992,0.984,0.984,0.984,0.984,0.984,0.988,0.988,0.988,0.988,0.988,0.996,0.996,0.996,0.996,0.999,0.999,0.999,0.999
19,0.13075,0.13075,0.13075,0.13075,0.13075,0.12737500000000002,0.12737500000000002,0.12737500000000002,0.12737500000000002,0.12737500000000002,0.1216875,0.1216875,0.1216875,0.1216875,0.1216875,0.106,0.106,0.106,0.106,0.106,0.108,0.108,0.108,0.108,0.108,0.10200000000000001,0.10200000000000001,0.10200000000000001,0.10200000000000001,0.10200000000000001,0.1,0.1,0.1,0.1,0.10200000000000001,0.10200000000000001,0.10200000000000001,0.10200000000000001
20,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0,192.0
